Subject,Subject_ID
abilities,1
activism,2
adult,3
adventure,4
age,5
alcohol,6
beatles,7
belief,8
birth,9
books,10
change,11
character,12
children,13
chocolate,14
choices,15
christianity,16
classic,17
comedy,18
courage,19
death,20
determination,21
dream,22
drug,23
education,24
empathy,25
evil,26
failure,27
faith,28
fantasy,29
fate,30
fear,31
food,32
friends,33
genius,34
girls,35
god,36
good,37
greatness,38
growth,39
happiness,40
hate,41
hope,42
humor,43
imagination,44
imperfection,45
indifference,46
inspirational,47
integrity,48
justice,49
knowledge,50
learning,51
library,52
lies,53
life,54
lost,55
love,56
marriage,57
mind,58
miracles,59
mistakes,60
music,61
navigation,62
obvious,63
open-mind,64
opposites,65
peace,66
people,67
philosophy,68
planning,69
poetry,70
reading,71
reality,72
regrets,73
religion,74
seuss,75
simile,76
simplicity,77
stupidity,78
success,79
tea,80
thought,81
travel,82
troubles,83
trust,84
truth,85
understand,86
value,87
wander,88
wisdom,89
woman,90
world,91
writing,92
yourself,93
